0,619.8071341514587,19.7,51.1
1,624.1833457946777,6.9,63.6
2,615.170704126358,10.6,65.1
3,621.565465927124,7.3,66.1
4,618.6513910293579,8.8,63.7
5,611.9436101913452,3.8,60.4
6,625.2110531330109,5.5,64.0
7,619.7043409347534,8.2,65.0
8,637.9025242328644,4.8,61.4
9,667.6593708992004,21.5,65.0
10,659.6385099887848,19.0,64.5
0,621.8570160865784,4.1,61.0
1,621.9692189693451,4.5,65.3
2,614.1538968086243,24.2,65.3
3,664.7889521121979,20.7,71.1
4,663.2249569892883,12.7,60.2
5,655.6282742023468,13.6,58.8
6,663.8136880397797,22.1,59.4
7,663.4903388023376,12.0,62.2
8,655.8612930774689,12.0,63.5
9,664.3589088916779,11.7,61.5
10,657.1022238731384,20.9,62.9
